dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query,collection_name,collection_doi,dataset_title,dataset_h5ad_path,dataset_total_cell_count,n_tissues,n_diseases
e522d2cd-7927-4e59-a4ed-064009569279,263917,38,blood,cytomegalovirus infection;normal,blood;brain;intestine;kidney;liver;lung,Human Immune Health Atlas,10.1038/s41586-025-09686-5,Human Immune Health Atlas,e522d2cd-7927-4e59-a4ed-064009569279.h5ad,1821725,1,2
2a498ace-872a-4935-984b-1afa70fd9886,339597,30,blood,COVID-19;normal;post-COVID-19 disorder,blood;brain;intestine;kidney;liver;lung,Local and systemic responses to SARS-CoV-2 infection in children and adults,10.1038/s41586-021-04345-x,PBMC,2a498ace-872a-4935-984b-1afa70fd9886.h5ad,422220,1,3
ed5d841d-6346-47d4-ab2f-7119ad7e3a35,161764,30,blood,normal,blood;brain;intestine;kidney;liver;lung,Integrated analysis of multimodal single-cell data,10.1016/j.cell.2021.04.048,nygc multimodal pbmc,ed5d841d-6346-47d4-ab2f-7119ad7e3a35.h5ad,161764,1,1
d3566d6a-a455-4a15-980f-45eb29114cab,7145,30,blood,normal,blood;brain;intestine;kidney;liver;lung,Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states,10.1038/s41590-021-01059-0,blood and bone marrow from a healthy young donor,d3566d6a-a455-4a15-980f-45eb29114cab.h5ad,15502,1,1
30c2a6fd-d547-460f-a5e7-44c62a2af7ad,207952,28,blood,normal;open-angle glaucoma,blood;brain;intestine;kidney;liver;lung,Human PBMC Glaucoma Atlas - Immune Tolerance to HSP60 Attenuates Neurodegeneration in Glaucoma,,Human PBMC Glaucoma Atlas,30c2a6fd-d547-460f-a5e7-44c62a2af7ad.h5ad,207952,1,2
5b25a46f-f1cf-4caa-9e10-6ab81dfe9174,12822,28,blood,HIV infectious disease || visceral leishmaniasis,blood;brain;intestine;kidney;liver;lung,Persistent T cell unresponsiveness associated with chronic visceral leishmaniasis in HIV-coinfected patients,10.1038/s42003-024-06225-2,Longitudinal,5b25a46f-f1cf-4caa-9e10-6ab81dfe9174.h5ad,12822,1,1
b0e547f0-462b-4f81-b31b-5b0a5d96f537,10282,28,blood,normal,blood;brain;intestine;kidney;liver;lung,Asian Immune Diversity Atlas (AIDA),10.1016/j.cell.2025.02.017,"AIDA Phase 1 Data Freeze v1: Chinese, Indian, Japanese, Korean, and Malay donors in Japan, Singapore, and South Korea",b0e547f0-462b-4f81-b31b-5b0a5d96f537.h5ad,1058909,1,1
3241c34f-581a-4de3-81fe-28e3de182680,9687,28,blood,HIV infectious disease;HIV infectious disease || leishmaniasis;normal,blood;brain;intestine;kidney;liver;lung,Persistent T cell unresponsiveness associated with chronic visceral leishmaniasis in HIV-coinfected patients,10.1038/s42003-024-06225-2,Cross-sectional,3241c34f-581a-4de3-81fe-28e3de182680.h5ad,17308,1,3
c2a461b1-0c15-4047-9fcb-1f966fe55100,97499,26,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Sampling peripheral blood and matched nasal swabs from donors with prior immunodeficiencies and autoimmune conditions infected with SARS-CoV-2,10.1101/2020.11.20.20227355,Autoimmunity PBMCs,c2a461b1-0c15-4047-9fcb-1f966fe55100.h5ad,97499,1,1
59b69042-47c2-47fd-ad03-d21beb99818f,49139,25,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,10.1016/j.isci.2021.103115,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,59b69042-47c2-47fd-ad03-d21beb99818f.h5ad,49139,1,2
3c75a463-6a87-4132-83a8-c3002624394d,95064,24,blood,common variable immunodeficiency;normal,blood;brain;intestine;kidney;liver;lung,Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses,10.1038/s41467-022-29450-x,Activated PBMCs - Expanded cohort CITE-seq,3c75a463-6a87-4132-83a8-c3002624394d.h5ad,95064,1,2
5e717147-0f75-4de1-8bd2-6fda01b8d75f,90957,22,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,10.1016/j.isci.2021.103115,Individual Single-Cell RNA-seq PBMC Data from Schulte-Schrepping et al.,5e717147-0f75-4de1-8bd2-6fda01b8d75f.h5ad,90957,1,2
456e8b9b-f872-488b-871d-94534090a865,44721,19,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung,Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,10.1038/s41591-020-0944-y,Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865.h5ad,44721,1,2
cf83c98a-3791-4537-bbde-a719f6d73c13,128588,17,blood,B-cell acute lymphoblastic leukemia,blood;brain;intestine;kidney;liver;lung,"HTAN-CHOP - Single-cell multiomics reveals increased plasticity, resistant populations, and stem-cell–like blasts in KMT2A-rearranged leukemia",10.1182/blood.2021013442,Global dataset of infant KMT2Ar B-ALL,cf83c98a-3791-4537-bbde-a719f6d73c13.h5ad,128588,1,1
a199ca73-035d-44e2-9893-4c493151db21,105827,16,blood,juvenile dermatomyositis;normal,blood;brain;intestine;kidney;liver;lung,CITEseq of JDM PBMCs,10.1172/jci.insight.176963,CITEseq of JDM PBMCs,a199ca73-035d-44e2-9893-4c493151db21.h5ad,105827,1,2
d18736c3-6292-4379-919a-d6d973204c87,108717,15,blood,normal;rheumatoid arthritis,blood;brain;intestine;kidney;liver;lung,Single-cell RNA-seq analysis reveals cell subsets and gene signatures associated with Rheumatoid Arthritis Disease Activity,10.1172/jci.insight.178499,Single-cell RNA-seq analysis reveals cell subsets and gene signatures associated with Rheumatoid Arthritis Disease Activity,d18736c3-6292-4379-919a-d6d973204c87.h5ad,108717,1,2
d7d7e89c-c93a-422d-8958-9b4a90b69558,16901,15,blood,common variable immunodeficiency;normal,blood;brain;intestine;kidney;liver;lung,Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses,10.1038/s41467-022-29450-x,Activated PBMCs - Twins scRNA-seq,d7d7e89c-c93a-422d-8958-9b4a90b69558.h5ad,16901,1,2
21d3e683-80a4-4d9b-bc89-ebb2df513dde,246964,14,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19,10.1016/j.cell.2021.02.018,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Adaptive Cells,21d3e683-80a4-4d9b-bc89-ebb2df513dde.h5ad,246964,1,2
de2c780c-1747-40bd-9ccf-9588ec186cee,59572,14,blood,COVID-19;influenza;normal,blood;brain;intestine;kidney;liver;lung,Immunophenotyping of COVID-19 and influenza highlights the role of type I interferons in development of severe COVID-19,10.1126/sciimmunol.abd1554,Immunophenotyping of COVID-19 and influenza highlights the role of type I interferons in development of severe COVID-19,de2c780c-1747-40bd-9ccf-9588ec186cee.h5ad,59572,1,3
5bc42b88-bb76-4954-927b-8bb7369adc64,11266,12,blood,normal,blood;brain;intestine;kidney;liver;lung,Single-cell reconstruction of the early maternal–fetal interface in humans,10.1038/s41586-018-0698-6,Pregnant Uterus (All),5bc42b88-bb76-4954-927b-8bb7369adc64.h5ad,70325,1,1
74cff64f-9da9-4b2a-9b3b-8a04a1598040,10989,12,blood,normal,blood;brain;intestine;kidney;liver;lung,Spatial multiomics map of trophoblast development in early pregnancy,10.1038/s41586-023-05869-0,All donors all cell states (in vivo),74cff64f-9da9-4b2a-9b3b-8a04a1598040.h5ad,325665,1,1
242c6e7f-9016-4048-af70-d631f5eea188,189902,10,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung,COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,10.1016/j.isci.2023.108572,"Circulating Immune cells -- CV19 infection, vaccination and HC",242c6e7f-9016-4048-af70-d631f5eea188.h5ad,189902,1,2
30cd5311-6c09-46c9-94f1-71fe4b91813c,125117,10,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19,10.1016/j.cell.2021.02.018,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,30cd5311-6c09-46c9-94f1-71fe4b91813c.h5ad,125117,1,2
fa8605cf-f27e-44af-ac2a-476bee4410d3,59506,10,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung,Acute COVID-19 cohort across a range of WHO categories seen at the Department of Emergency Medicine at MGH,10.1101/2020.11.20.20227355,PBMCs,fa8605cf-f27e-44af-ac2a-476bee4410d3.h5ad,59506,1,2
0ae6f031-2f9c-4247-8b26-db320d6efd32,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,Fluent-rep2,0ae6f031-2f9c-4247-8b26-db320d6efd32.h5ad,7750,1,1
17e9d436-a264-4c94-a42d-48c8daf6fdd9,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,10X_5-rep1,17e9d436-a264-4c94-a42d-48c8daf6fdd9.h5ad,7750,1,1
3bfd5174-5b49-4e58-b233-ed0f4edd0bec,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,Fluent-rep3,3bfd5174-5b49-4e58-b233-ed0f4edd0bec.h5ad,7750,1,1
3f6ab2aa-6c63-4753-b652-3a9b9e7c8ee5,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,Scale-rep1,3f6ab2aa-6c63-4753-b652-3a9b9e7c8ee5.h5ad,7750,1,1
4319097a-acae-4124-beed-d1173ffe1464,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,Parse-rep1,4319097a-acae-4124-beed-d1173ffe1464.h5ad,7750,1,1
432f3af5-6a79-401f-b315-fb2df789f32c,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,Fluent-rep1,432f3af5-6a79-401f-b315-fb2df789f32c.h5ad,7750,1,1
527641f0-df64-4c80-957c-a65dccd477bc,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,10X_FRP-rep2,527641f0-df64-4c80-957c-a65dccd477bc.h5ad,7750,1,1
59632ec0-6f10-48c6-af79-81024e84843e,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,BD-rep2,59632ec0-6f10-48c6-af79-81024e84843e.h5ad,7750,1,1
8ff0cef9-393e-43de-9722-a1e12c239727,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,Honeycomb-rep1,8ff0cef9-393e-43de-9722-a1e12c239727.h5ad,7750,1,1
9c1b5626-58df-4401-ae7b-f66d068c1551,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,10X_3-rep2,9c1b5626-58df-4401-ae7b-f66d068c1551.h5ad,7750,1,1
a82c43bb-a703-446d-aa24-049bf013121f,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,10X_5-rep2,a82c43bb-a703-446d-aa24-049bf013121f.h5ad,7750,1,1
c0fb0d06-225b-4611-b802-d2f34b438a29,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,BD-rep1,c0fb0d06-225b-4611-b802-d2f34b438a29.h5ad,7750,1,1
c54c9659-1b6b-4d4a-96f0-7dc987410f2d,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,10X_3-rep1,c54c9659-1b6b-4d4a-96f0-7dc987410f2d.h5ad,7750,1,1
cee9b331-3ba0-4461-8bbd-867819d9fc0a,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,10X_FRP-rep1,cee9b331-3ba0-4461-8bbd-867819d9fc0a.h5ad,7750,1,1
f6cc8a47-2dea-40aa-8608-d771c5ef8a07,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,Honeycomb-rep2,f6cc8a47-2dea-40aa-8608-d771c5ef8a07.h5ad,7750,1,1
79884ae5-e026-4d4a-858f-e807960bd4f7,4425,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,Scipio-rep2,79884ae5-e026-4d4a-858f-e807960bd4f7.h5ad,4425,1,1
27d3952f-fbbc-497d-98d1-f37f3d555235,3457,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,Scipio-rep1,27d3952f-fbbc-497d-98d1-f37f3d555235.h5ad,3457,1,1
19e46756-9100-4e01-8b0e-23b557558a4c,66985,9,blood,clonal hematopoiesis;normal,blood;brain;intestine;kidney;liver;lung,Multiomic Profiling of Human Clonal Hematopoiesis Reveals Genotype and Cell-Specific Inflammatory Pathway Activation,10.1182/bloodadvances.2023011445,Single Cell Sequencing of Human PBMCs in Clonal Hematopoeisis of Indeterminant Potential,19e46756-9100-4e01-8b0e-23b557558a4c.h5ad,66985,1,2
db59611b-42de-4035-93aa-1ed39f38b467,11574,9,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,49 years old male - Fresh PBMCs (2 days post-intubation),db59611b-42de-4035-93aa-1ed39f38b467.h5ad,11574,1,1
eeacb0c1-2217-4cf6-b8ce-1f0fedf1b569,9337,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,49 years old male - Fresh PBMCs (3 days post-intubation),eeacb0c1-2217-4cf6-b8ce-1f0fedf1b569.h5ad,9337,1,1
881fe679-c6e0-45a3-9427-c4e81be6921f,7097,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,66 years old female - Fresh PBMCs (2 days post-intubation),881fe679-c6e0-45a3-9427-c4e81be6921f.h5ad,7097,1,1
ed9e9f96-4f08-49d2-bef5-b2c29adf3edc,5696,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,66 years old female - Fresh PBMCs (4 days post-intubation),ed9e9f96-4f08-49d2-bef5-b2c29adf3edc.h5ad,5696,1,1
ea786a06-5855-48b7-80d7-0313a21a2044,4792,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,66 years old female - Fresh PBMCs (3 days post-intubation),ea786a06-5855-48b7-80d7-0313a21a2044.h5ad,4792,1,1
c874f155-9bf9-4928-b821-f52c876b3e48,4603,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,49 years old male - Fresh PBMCs (1 day post-intubation),c874f155-9bf9-4928-b821-f52c876b3e48.h5ad,4603,1,1
01c93cf6-b695-4e30-a26e-121ae8b16a9e,3726,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,66 years old female - Fresh PBMCs (7 days post-intubation),01c93cf6-b695-4e30-a26e-121ae8b16a9e.h5ad,3726,1,1
460dfe21-0550-4521-92fe-db0f3036d8b0,18122,7,blood,B-cell acute lymphoblastic leukemia,blood;brain;intestine;kidney;liver;lung,Integrative single-cell multi-omics of CD19-CARpos and CARneg T cells suggest drivers of immunotherapy response in B-ALL,10.1101/2024.01.23.576878,CD19-CARpos and CARneg T cells,460dfe21-0550-4521-92fe-db0f3036d8b0.h5ad,18122,1,1
84230ea4-998d-4aa8-8456-81dd54ce23af,5608,7,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,74 years old female - Fresh PBMCs (3 days post-intubation),84230ea4-998d-4aa8-8456-81dd54ce23af.h5ad,5608,1,1
cab0bc48-744c-461b-aaf4-7bf2cb7af00d,5080,7,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,74 years old female - Fresh PBMCs (4 days post-intubation),cab0bc48-744c-461b-aaf4-7bf2cb7af00d.h5ad,5080,1,1
79ef1959-a6b4-4cac-82ca-30feaec48df1,4846,7,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,74 years old female - Fresh PBMCs (7 days post-intubation),79ef1959-a6b4-4cac-82ca-30feaec48df1.h5ad,4846,1,1
50eb1e23-b8d4-4f76-a184-44e5541fa05a,4755,7,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,74 years old female - Fresh PBMCs (8 days post-intubation),50eb1e23-b8d4-4f76-a184-44e5541fa05a.h5ad,4755,1,1
8a554710-08bc-4005-87cd-da9675bdc2e7,4232,6,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,82 years old female - Fresh PBMCs (1 day post-intubation),8a554710-08bc-4005-87cd-da9675bdc2e7.h5ad,4232,1,1
2adb1f8a-a6b1-4909-8ee8-484814e2d4bf,202667,36,blood;brain;intestine;kidney;liver;lung,normal,blood;brain;intestine;kidney;liver;lung,Construction of a human cell landscape at single-cell level,10.1038/s41586-020-2157-4,Construction of a human cell landscape at single-cell level,2adb1f8a-a6b1-4909-8ee8-484814e2d4bf.h5ad,598266,6,1
5af90777-6760-4003-9dba-8f945fec6fdf,253040,45,blood;kidney,kidney benign neoplasm;kidney oncocytoma;nonpapillary renal cell carcinoma;normal,blood;brain;intestine;kidney;liver;lung,Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer,10.1016/j.ccell.2022.11.001,Single-cell transcriptomic datasets of Renal cell carcinoma patients,5af90777-6760-4003-9dba-8f945fec6fdf.h5ad,270855,2,4
bd65a70f-b274-4133-b9dd-0d1431b6af34,163448,18,blood;kidney,clear cell renal carcinoma,blood;brain;intestine;kidney;liver;lung,Single-cell sequencing links multiregional immune landscapes and tissue-resident T cells in ccRCC to tumor topology and therapy efficacy,10.1016/j.ccell.2021.03.007,Single-cell sequencing links multiregional immune landscapes and tissue-resident T cells in ccRCC to tumor topology and therapy efficacy,bd65a70f-b274-4133-b9dd-0d1431b6af34.h5ad,167283,2,1
53d208b0-2cfd-4366-9866-c3c6114081bc,184670,34,blood;kidney;liver;lung,normal,blood;brain;intestine;kidney;liver;lung,Tabula Sapiens,10.1126/science.abl4896,Tabula Sapiens - All Cells,53d208b0-2cfd-4366-9866-c3c6114081bc.h5ad,1136218,4,1
471647b3-04fe-4c76-8372-3264feb950e8,21848,12,blood;liver,normal,blood;brain;intestine;kidney;liver;lung,Blood and immune development in human fetal bone marrow and Down syndrome,10.1038/s41586-021-03929-x,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",471647b3-04fe-4c76-8372-3264feb950e8.h5ad,27998,2,1
1b9d8702-5af8-4142-85ed-020eb06ec4f6,76407,34,blood;liver;lung,normal,blood;brain;intestine;kidney;liver;lung,Cross-tissue immune cell analysis reveals tissue-specific features in humans,10.1126/science.abl5197,Global,1b9d8702-5af8-4142-85ed-020eb06ec4f6.h5ad,329762,3,1
