dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query
0041b9c3-6a49-4bf7-8514-9bc7190067a7,0,0,,,blood;brain;intestine;kidney;liver;lung
00476f9f-ebc1-4b72-b541-32f912ce36ea,0,0,,,blood;brain;intestine;kidney;liver;lung
00593d17-0693-4646-acad-89dbefba11bb,0,0,,,blood;brain;intestine;kidney;liver;lung
0087cde2-967d-4f7c-8e6e-40e4c9ad1891,5399,1,brain,normal,blood;brain;intestine;kidney;liver;lung
00e5dedd-b9b7-43be-8c28-b0e5c6414a62,0,0,,,blood;brain;intestine;kidney;liver;lung
00f15b43-f871-46d8-8105-814387ad8658,0,0,,,blood;brain;intestine;kidney;liver;lung
00ff600e-6e2e-4d76-846f-0eec4f0ae417,0,0,,,blood;brain;intestine;kidney;liver;lung
01209dce-3575-4bed-b1df-129f57fbc031,28684,6,blood;lung,normal,blood;brain;intestine;kidney;liver;lung
0129dbd9-a7d3-4f6b-96b9-1da155a93748,0,0,,,blood;brain;intestine;kidney;liver;lung
015c230d-650c-4527-870d-8a805849a382,0,0,,,blood;brain;intestine;kidney;liver;lung
019c7af2-c827-4454-9970-44d5e39ce068,0,0,,,blood;brain;intestine;kidney;liver;lung
01ad3cd7-3929-4654-84c0-6db05bd5fd59,600929,11,blood,COVID-19;normal;respiratory system disorder,blood;brain;intestine;kidney;liver;lung
01b84709-139c-4485-98a9-6e14c58fbbf6,0,0,,,blood;brain;intestine;kidney;liver;lung
01c93cf6-b695-4e30-a26e-121ae8b16a9e,3726,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung
02474d5c-7faa-4567-80f8-56abc0a1df62,0,0,,,blood;brain;intestine;kidney;liver;lung
02792605-4760-4023-82ad-40fc4458a5db,65396,27,liver,primary biliary cholangitis;primary sclerosing cholangitis,blood;brain;intestine;kidney;liver;lung
03181d87-4769-41e7-8c39-d9a81835f0d2,0,0,,,blood;brain;intestine;kidney;liver;lung
0325478a-9b52-45b5-b40a-2e2ab0d72eb1,0,0,,,blood;brain;intestine;kidney;liver;lung
0374f03c-62e2-4859-8a14-acb00b0627d5,0,0,,,blood;brain;intestine;kidney;liver;lung
03c544fb-a103-4d18-9230-eae9cfee3af2,0,0,,,blood;brain;intestine;kidney;liver;lung
03d38670-1444-4001-bc53-9936e61d9b20,0,0,,,blood;brain;intestine;kidney;liver;lung
03d5794d-cde9-4769-a1a9-b3899d2b1d87,0,0,,,blood;brain;intestine;kidney;liver;lung
0436a180-cb44-47ba-8ffa-807b7a468469,0,0,,,blood;brain;intestine;kidney;liver;lung
04557650-a691-4306-a56c-232fbfeb236c,0,0,,,blood;brain;intestine;kidney;liver;lung
04a23820-ffa8-4be5-9f65-64db15631d1e,0,0,,,blood;brain;intestine;kidney;liver;lung
04b0eb97-d816-44bb-93a5-8b2968791aa0,0,0,,,blood;brain;intestine;kidney;liver;lung
04c0bdd8-840f-488e-b72d-2a1229bc65db,0,0,,,blood;brain;intestine;kidney;liver;lung
04c94a7d-1133-42c9-bb48-c697bd302a8d,0,0,,,blood;brain;intestine;kidney;liver;lung
04d87de6-c20a-4186-8884-f47dba20b0a4,0,0,,,blood;brain;intestine;kidney;liver;lung
055ca631-6ffb-40de-815e-b931e10718c0,0,0,,,blood;brain;intestine;kidney;liver;lung
059022cf-885a-4ef8-944b-d9e5381aa1c6,0,0,,,blood;brain;intestine;kidney;liver;lung
05a49baa-d326-42ae-86d2-94de3a659901,0,0,,,blood;brain;intestine;kidney;liver;lung
064fa88b-78dc-4edd-b9cd-bcc16964c81e,0,0,,,blood;brain;intestine;kidney;liver;lung
066943a2-fdac-4b29-b348-40cede398e4e,0,0,,,blood;brain;intestine;kidney;liver;lung
06b91002-4d3d-4d2e-8484-20c3b31e232c,0,0,,,blood;brain;intestine;kidney;liver;lung
06ef6b36-6c9b-4e10-8a94-d0baf274276e,0,0,,,blood;brain;intestine;kidney;liver;lung
07428d73-fdea-4bd4-a801-94b00c4d961c,0,0,,,blood;brain;intestine;kidney;liver;lung
07574da2-6bd3-4708-a04d-27d95c009f4e,0,0,,,blood;brain;intestine;kidney;liver;lung
07760522-707a-4a1c-8891-dbd1226d6b27,0,0,,,blood;brain;intestine;kidney;liver;lung
07854d9c-5375-4a9b-ac34-fa919d3c3686,0,0,,,blood;brain;intestine;kidney;liver;lung
07b1d7c8-5c2e-42f7-9246-26f746cd6013,0,0,,,blood;brain;intestine;kidney;liver;lung
07dd8c34-4625-480a-8ee4-273a06c3082b,0,0,,,blood;brain;intestine;kidney;liver;lung
08073b32-d389-41f4-a4fd-616de76915ab,0,0,,,blood;brain;intestine;kidney;liver;lung
0895c838-e550-48a3-a777-dbcd35d30272,0,0,,,blood;brain;intestine;kidney;liver;lung
090da8ea-46e8-40df-bffc-1f78e1538d27,0,0,,,blood;brain;intestine;kidney;liver;lung
0920bcb8-4b3a-4e9d-a353-56f529fd3b32,0,0,,,blood;brain;intestine;kidney;liver;lung
093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f,69711,56,lung,normal,blood;brain;intestine;kidney;liver;lung
095940cb-7422-4510-96e2-cbafd961eb88,0,0,,,blood;brain;intestine;kidney;liver;lung
09b518f9-da64-44cc-aec8-70a89d55611f,0,0,,,blood;brain;intestine;kidney;liver;lung
0a21f80c-e7a3-465b-8aba-fdda2b4c36bc,0,0,,,blood;brain;intestine;kidney;liver;lung
0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,0,0,,,blood;brain;intestine;kidney;liver;lung
0a8e3443-c3e2-4918-84db-0495657d9175,1234234,38,blood,cytomegalovirus infection,blood;brain;intestine;kidney;liver;lung
0ae6f031-2f9c-4247-8b26-db320d6efd32,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung
0b4a15a7-4e9e-4555-9733-2423e5c66469,48783,28,kidney,normal,blood;brain;intestine;kidney;liver;lung
0b75c598-0893-4216-afe8-5414cab7739d,0,0,,,blood;brain;intestine;kidney;liver;lung
0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,0,0,,,blood;brain;intestine;kidney;liver;lung
0ba636a1-4754-4786-a8be-7ab3cf760fd6,0,0,,,blood;brain;intestine;kidney;liver;lung
0bae7ebf-eb54-46a6-be9a-3461cecefa4c,27675,18,kidney,normal,blood;brain;intestine;kidney;liver;lung
0bc7235a-ae5a-479d-a487-510435377e55,0,0,,,blood;brain;intestine;kidney;liver;lung
0bf30b02-db97-4560-b9cd-0fe3588892af,0,0,,,blood;brain;intestine;kidney;liver;lung
0c0c49a2-b96b-432f-98a4-1decf9929149,1322061,38,blood,cytomegalovirus infection,blood;brain;intestine;kidney;liver;lung
0c86f0de-ddcb-454c-b00b-37feb69e7da1,0,0,,,blood;brain;intestine;kidney;liver;lung
0c9a8cfb-6649-4d52-b418-6d8e56bd7afe,832,2,liver,normal,blood;brain;intestine;kidney;liver;lung
0caedec7-1c7d-4e79-aba2-50f6916e643f,0,0,,,blood;brain;intestine;kidney;liver;lung
0ced5e76-6040-47ff-8a72-93847965afc0,0,0,,,blood;brain;intestine;kidney;liver;lung
0d2ee4ac-05ee-40b2-afb6-ebb584caa867,0,0,,,blood;brain;intestine;kidney;liver;lung
0d3807bf-97f0-4ec5-9611-15ada507f0df,0,0,,,blood;brain;intestine;kidney;liver;lung
0d7f4c06-a6bd-47d2-a42b-3a7196704f77,0,0,,,blood;brain;intestine;kidney;liver;lung
0de831e0-a525-4ec5-b717-df56f2de2bf0,6133,1,brain,normal,blood;brain;intestine;kidney;liver;lung
0e9d47fb-89b1-42d8-b426-2c7630b5f5fa,0,0,,,blood;brain;intestine;kidney;liver;lung
0eccaf0c-19d2-4900-9962-899378adf8be,0,0,,,blood;brain;intestine;kidney;liver;lung
0ecea697-0f69-4d40-88e1-7f854e17e2b3,0,0,,,blood;brain;intestine;kidney;liver;lung
0ed60482-a34f-4268-b576-d69cc30210f6,0,0,,,blood;brain;intestine;kidney;liver;lung
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,0,0,,,blood;brain;intestine;kidney;liver;lung
0f4865d5-8000-4f68-8ac7-f5efea9e5e70,0,0,,,blood;brain;intestine;kidney;liver;lung
0fdb6122-4600-40f0-a703-2da47cc7080d,0,0,,,blood;brain;intestine;kidney;liver;lung
1009f384-b12d-448e-ba9f-1b7d2ecfbb4e,0,0,,,blood;brain;intestine;kidney;liver;lung
100c6145-7b0e-4ba6-81c1-ffebed0d1ac4,0,0,,,blood;brain;intestine;kidney;liver;lung
105c7dad-0468-4628-a5be-2bb42c6a8ae4,0,0,,,blood;brain;intestine;kidney;liver;lung
1062c0f2-2a44-4cf9-a7c8-b5ed58b4728d,0,0,,,blood;brain;intestine;kidney;liver;lung
11622d58-4dfe-4a81-b3d2-c4cabbfd636a,0,0,,,blood;brain;intestine;kidney;liver;lung
1185a7d3-a9c1-4280-9ba5-d61895b15cac,0,0,,,blood;brain;intestine;kidney;liver;lung
1196334f-a441-474a-95ee-400780941690,0,0,,,blood;brain;intestine;kidney;liver;lung
11a3244a-6b2f-43ca-95a5-d2cd95c482d2,0,0,,,blood;brain;intestine;kidney;liver;lung
11ae668a-88c2-4d86-ba08-524fe576a882,0,0,,,blood;brain;intestine;kidney;liver;lung
11ef37ee-2173-458e-aab8-7fe35da8e47b,0,0,,,blood;brain;intestine;kidney;liver;lung
11ff73e8-d3e4-4445-9309-477a2c5be6f6,0,0,,,blood;brain;intestine;kidney;liver;lung
120cbe1a-9434-4e23-84bd-f570ac32300c,0,0,,,blood;brain;intestine;kidney;liver;lung
12194ced-8086-458e-84a8-e2ab935d8db1,0,0,,,blood;brain;intestine;kidney;liver;lung
124744b8-4681-474a-9894-683896122708,0,0,,,blood;brain;intestine;kidney;liver;lung
1252c5fb-945f-42d6-b1a8-8a3bd864384b,0,0,,,blood;brain;intestine;kidney;liver;lung
12c3efd8-d515-42e6-b93c-4961e599d524,0,0,,,blood;brain;intestine;kidney;liver;lung
12c868c6-94df-48b5-acf2-b82f6aa14074,0,0,,,blood;brain;intestine;kidney;liver;lung
13149914-ea03-4f01-8bf6-b793b667127b,1509370,12,brain,normal,blood;brain;intestine;kidney;liver;lung
13b61a7d-5605-4948-ba48-02c588960143,0,0,,,blood;brain;intestine;kidney;liver;lung
1405dd3e-d852-4bdd-80ad-a935eca0e78c,0,0,,,blood;brain;intestine;kidney;liver;lung
14363b6e-3428-45b0-8704-10fd5d6316df,0,0,,,blood;brain;intestine;kidney;liver;lung
145dcf6a-2461-4fa3-a0af-7fc56db0bd33,123236,14,brain,glioblastoma,blood;brain;intestine;kidney;liver;lung
146216e1-ec30-4fee-a1fb-25defe801e2d,0,0,,,blood;brain;intestine;kidney;liver;lung
1492eb6b-7d50-4c4d-94ac-c801a7d5555c,0,0,,,blood;brain;intestine;kidney;liver;lung
149b2c3f-ee11-47a7-984b-923570280bd7,301,1,brain,normal,blood;brain;intestine;kidney;liver;lung
15d374d6-0dfd-4d8e-ade7-81f73dc921ee,0,0,,,blood;brain;intestine;kidney;liver;lung
15e0ec3e-a05f-4cd8-8624-96448f5a2b58,0,0,,,blood;brain;intestine;kidney;liver;lung
16023185-de21-4c0d-a9c8-73abdd52d142,0,0,,,blood;brain;intestine;kidney;liver;lung
171b03c9-516b-499c-a434-fa4f70191988,7156,1,brain,normal,blood;brain;intestine;kidney;liver;lung
17e9d436-a264-4c94-a42d-48c8daf6fdd9,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung
182f6a56-7360-4924-a74e-1772e07b3031,0,0,,,blood;brain;intestine;kidney;liver;lung
182f8181-172b-46c3-9bc3-575bf3bce91b,0,0,,,blood;brain;intestine;kidney;liver;lung
18500fcd-9960-49cb-8a8e-7d868dc14efe,0,0,,,blood;brain;intestine;kidney;liver;lung
1851b6ab-2386-40a1-8c2a-b7cd895b889e,0,0,,,blood;brain;intestine;kidney;liver;lung
186c1742-7f10-424e-a1d9-87ed7c4d6024,0,0,,,blood;brain;intestine;kidney;liver;lung
1873a18a-66fd-4a4d-8277-a872c93f5b59,0,0,,,blood;brain;intestine;kidney;liver;lung
1884e651-5f7f-4e6c-a71a-843ba272aaf4,0,0,,,blood;brain;intestine;kidney;liver;lung
18e2a8c5-33f7-455e-a58a-b2ba6921db27,0,0,,,blood;brain;intestine;kidney;liver;lung
18eb630b-a754-4111-8cd4-c24ec80aa5ec,0,0,,,blood;brain;intestine;kidney;liver;lung
19053a82-9c89-4fb8-bd19-d7b1800b0b7b,10785,59,intestine,colorectal cancer;normal,blood;brain;intestine;kidney;liver;lung
19b21f40-db42-4a71-a0d6-913e83b17784,0,0,,,blood;brain;intestine;kidney;liver;lung
19cca385-55f4-45dd-8e62-d9e15f59e32c,0,0,,,blood;brain;intestine;kidney;liver;lung
19e46756-9100-4e01-8b0e-23b557558a4c,66985,9,blood,clonal hematopoiesis;normal,blood;brain;intestine;kidney;liver;lung
19f1bec6-eeb7-4133-accc-992d745fef89,0,0,,,blood;brain;intestine;kidney;liver;lung
1a018108-b4b6-457b-ba15-046d5e98c169,0,0,,,blood;brain;intestine;kidney;liver;lung
1a2e3350-28a8-4f49-b33c-5b67ceb001f6,0,0,,,blood;brain;intestine;kidney;liver;lung
1a38e762-2465-418f-b81c-6a4bce261c34,0,0,,,blood;brain;intestine;kidney;liver;lung
1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771,0,0,,,blood;brain;intestine;kidney;liver;lung
1a7e99fe-d5b6-44d7-aa50-c6ef6ab29761,0,0,,,blood;brain;intestine;kidney;liver;lung
1a974af7-8b4b-4abb-8aba-23e2979d9518,16668,1,brain,normal,blood;brain;intestine;kidney;liver;lung
1a9f3b38-b86d-416d-bbdc-9058ad3ff42d,0,0,,,blood;brain;intestine;kidney;liver;lung
1ab4ebbc-18d6-4838-89c2-cdc5b10accfb,0,0,,,blood;brain;intestine;kidney;liver;lung
1b350d0a-4535-4879-beb6-1142f3f94947,331337,31,blood;liver;lung,normal,blood;brain;intestine;kidney;liver;lung
1b52ee22-c71a-4a0f-a4d2-c1be36d0b82a,0,0,,,blood;brain;intestine;kidney;liver;lung
1b767f95-d0a0-4a3d-b394-cc665d86c3dc,0,0,,,blood;brain;intestine;kidney;liver;lung
1b9d8702-5af8-4142-85ed-020eb06ec4f6,76407,34,blood;liver;lung,normal,blood;brain;intestine;kidney;liver;lung
1c05b7ae-4dfb-4c1b-a441-4b23c04b169e,0,0,,,blood;brain;intestine;kidney;liver;lung
1c739a3e-c3f5-49d5-98e0-73975e751201,0,0,,,blood;brain;intestine;kidney;liver;lung
1c9eb291-6d31-47e1-96b2-129b5e1ae64f,0,0,,,blood;brain;intestine;kidney;liver;lung
1c9f5c6b-73da-4d17-95de-df080ffe0df1,0,0,,,blood;brain;intestine;kidney;liver;lung
1cf24082-59de-4029-ac81-6e398768af3a,0,0,,,blood;brain;intestine;kidney;liver;lung
1d54fb17-90d5-47ca-ad8d-22ab63cb5c1f,0,0,,,blood;brain;intestine;kidney;liver;lung
1d89d081-f43d-401a-be76-bd6ef9259f4e,10352,18,liver,normal,blood;brain;intestine;kidney;liver;lung
1e4214ce-7347-4ec7-97b3-fcf7c1938e8b,35954,19,lung,lung adenocarcinoma;squamous cell lung carcinoma,blood;brain;intestine;kidney;liver;lung
1e517707-295a-408d-809c-5b1ed4dbeda4,0,0,,,blood;brain;intestine;kidney;liver;lung
1e5bd3b8-6a0e-4959-8d69-cafed30fe814,35699,9,lung,normal;pulmonary emphysema,blood;brain;intestine;kidney;liver;lung
1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1,845946,33,brain;liver;lung,lung adenocarcinoma;non-small cell lung carcinoma;squamous cell lung carcinoma,blood;brain;intestine;kidney;liver;lung
1f1c5c14-5949-4c81-b28e-b272e271b672,0,0,,,blood;brain;intestine;kidney;liver;lung
1fc48734-35ee-4372-885c-95fd2674c75a,79631,1,brain,normal,blood;brain;intestine;kidney;liver;lung
203025fe-fa99-4d57-81da-458ed8f0c334,0,0,,,blood;brain;intestine;kidney;liver;lung
20980d73-7c53-4039-b852-b76a01566d5a,0,0,,,blood;brain;intestine;kidney;liver;lung
20d87640-4be8-487f-93d4-dce38378d00f,0,0,,,blood;brain;intestine;kidney;liver;lung
20de8570-f01a-4016-9e0d-7e2bfb43932a,0,0,,,blood;brain;intestine;kidney;liver;lung
214bf9eb-93db-48c8-8e3c-9bb22fa3bc63,0,0,,,blood;brain;intestine;kidney;liver;lung
215ede73-4f67-4a72-b77e-9c3b077b6dfc,0,0,,,blood;brain;intestine;kidney;liver;lung
21722308-5091-4b63-9c07-4f116ab9a7b3,135482,13,brain,glioblastoma,blood;brain;intestine;kidney;liver;lung
2185eb07-22e2-4209-b3c8-7111afc6aa90,0,0,,,blood;brain;intestine;kidney;liver;lung
218acb0f-9f2f-4f76-b90b-15a4b7c7f629,1263676,11,blood,normal;systemic lupus erythematosus,blood;brain;intestine;kidney;liver;lung
2190bd4d-3be0-4bf7-8ca8-8d6f71228936,0,0,,,blood;brain;intestine;kidney;liver;lung
21d3e683-80a4-4d9b-bc89-ebb2df513dde,246964,14,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung
22658f4f-9268-41ad-8828-cc53f4baa9fa,0,0,,,blood;brain;intestine;kidney;liver;lung
22875b17-dc4a-4870-8ca7-477a088ab898,0,0,,,blood;brain;intestine;kidney;liver;lung
232e432a-cef1-4654-8850-3c80244c1a0c,0,0,,,blood;brain;intestine;kidney;liver;lung
232f6a5a-a04c-4758-a6e8-88ab2e3a6e69,0,0,,,blood;brain;intestine;kidney;liver;lung
234c23d0-d6cd-4612-a40d-e5811727564b,45186,3,liver,normal,blood;brain;intestine;kidney;liver;lung
236baeda-5fdd-41bf-8e32-bae21ac7d435,0,0,,,blood;brain;intestine;kidney;liver;lung
24066994-8183-488d-b037-ef6bb524af39,0,0,,,blood;brain;intestine;kidney;liver;lung
2423ce2c-3149-4cca-a2ff-cf682ea29b5f,0,0,,,blood;brain;intestine;kidney;liver;lung
242c6e7f-9016-4048-af70-d631f5eea188,189902,10,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung
24584be9-d3d5-49c3-a042-99c18fe324db,0,0,,,blood;brain;intestine;kidney;liver;lung
248cf7bf-508b-4c28-a2fd-cabe2ab956aa,0,0,,,blood;brain;intestine;kidney;liver;lung
24905cd6-203f-4a02-ae7b-cfb4464b2000,0,0,,,blood;brain;intestine;kidney;liver;lung
24ec2dc5-3573-4d66-a9e1-25b7dcf43e27,0,0,,,blood;brain;intestine;kidney;liver;lung
251b1a7e-d050-4486-8d50-4c2619eb0f46,0,0,,,blood;brain;intestine;kidney;liver;lung
2554a654-237c-485e-b0d2-a58b46cf2d9a,0,0,,,blood;brain;intestine;kidney;liver;lung
2672b679-8048-4f5e-9786-f1b196ccfd08,57019,20,lung,normal,blood;brain;intestine;kidney;liver;lung
27159c75-90c9-4c5d-a4d7-b61fc296dff6,0,0,,,blood;brain;intestine;kidney;liver;lung
2727d83a-0af0-443a-bff8-58dc7028289a,0,0,,,blood;brain;intestine;kidney;liver;lung
274968bf-96bf-4670-a85b-afe1cebb7c7d,0,0,,,blood;brain;intestine;kidney;liver;lung
278eac3f-a5a4-4d0a-9d83-0ca7efc67e16,0,0,,,blood;brain;intestine;kidney;liver;lung
27d3952f-fbbc-497d-98d1-f37f3d555235,3457,10,blood,normal,blood;brain;intestine;kidney;liver;lung
27d91086-cfe3-4e33-9282-bd1246e5ce8e,0,0,,,blood;brain;intestine;kidney;liver;lung
2856d06c-0ff9-4e01-bfc9-202b74d0b60f,0,0,,,blood;brain;intestine;kidney;liver;lung
2872f4b0-b171-46e2-abc6-befcf6de6306,0,0,,,blood;brain;intestine;kidney;liver;lung
290d50c7-7158-4198-acf5-6d4b624fd3dc,0,0,,,blood;brain;intestine;kidney;liver;lung
29244e1d-02e6-4133-b411-516ef7474638,0,0,,,blood;brain;intestine;kidney;liver;lung
2a156c92-c62f-4a51-b340-9df09caa589c,0,0,,,blood;brain;intestine;kidney;liver;lung
2a498ace-872a-4935-984b-1afa70fd9886,339597,30,blood,COVID-19;normal;post-COVID-19 disorder,blood;brain;intestine;kidney;liver;lung
2a65bd41-4a3f-42f4-98b2-c53962811152,0,0,,,blood;brain;intestine;kidney;liver;lung
2a7f90de-098a-4a6f-ac07-9e6462792412,0,0,,,blood;brain;intestine;kidney;liver;lung
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,0,0,,,blood;brain;intestine;kidney;liver;lung
2aa1c93c-4ef3-4e9a-98e7-0bd37933953c,0,0,,,blood;brain;intestine;kidney;liver;lung
2ac76f1b-43ef-4271-8686-2f165570989f,48226,29,lung,COVID-19,blood;brain;intestine;kidney;liver;lung
2ad168af-ae8c-469e-b21f-dd7f93146d7e,0,0,,,blood;brain;intestine;kidney;liver;lung
2adb1f8a-a6b1-4909-8ee8-484814e2d4bf,202667,36,blood;brain;intestine;kidney;liver;lung,normal,blood;brain;intestine;kidney;liver;lung
2b868c88-eb35-492d-ba7d-4f2d0ff3ff33,0,0,,,blood;brain;intestine;kidney;liver;lung
2ba40233-8576-4dec-a5f1-2adfa115e2dc,0,0,,,blood;brain;intestine;kidney;liver;lung
2bdd3a2c-2ff4-4314-adf3-8a06b797a33a,0,0,,,blood;brain;intestine;kidney;liver;lung
2c820d53-cbd7-4e0a-be7a-a0ad1989a98f,685024,25,blood,normal,blood;brain;intestine;kidney;liver;lung
2d31c0ca-0233-41ce-bd1a-05aa8404b073,0,0,,,blood;brain;intestine;kidney;liver;lung
2d85960a-2ba8-4f54-9aec-537fae839f5d,0,0,,,blood;brain;intestine;kidney;liver;lung
2d9f953c-940f-43d4-b9cc-7ea371cefb4c,0,0,,,blood;brain;intestine;kidney;liver;lung
2dd73feb-0527-47d5-8c7b-35b6de16aecb,0,0,,,blood;brain;intestine;kidney;liver;lung
2dd9d7a2-4bee-4c3f-a1f5-89bc3271c4f0,0,0,,,blood;brain;intestine;kidney;liver;lung
2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb,0,0,,,blood;brain;intestine;kidney;liver;lung
2e95d453-930b-4425-9475-ccaf8cf2ac40,0,0,,,blood;brain;intestine;kidney;liver;lung
2e9d2f32-4cfb-49b5-b990-cbf4c241214e,0,0,,,blood;brain;intestine;kidney;liver;lung
2ecc72f8-085f-4e86-8692-771f316c54f6,0,0,,,blood;brain;intestine;kidney;liver;lung
2f05ab20-a092-4bab-9276-3e0eb24e3fee,0,0,,,blood;brain;intestine;kidney;liver;lung
2f132ec9-24b5-422f-9be0-ccef03b4fe28,39778,9,lung,normal,blood;brain;intestine;kidney;liver;lung
2f6a20f1-173d-4b8d-860b-c47ffea120fa,0,0,,,blood;brain;intestine;kidney;liver;lung
2f7230e7-4706-4924-b571-473fc1e52c30,0,0,,,blood;brain;intestine;kidney;liver;lung
2fc9c59f-3cfd-48d9-9b23-e369ea31bff3,0,0,,,blood;brain;intestine;kidney;liver;lung
305c1196-76b3-42d1-818f-2694d01dbd97,0,0,,,blood;brain;intestine;kidney;liver;lung
3079e9b0-c6db-45c8-b998-a4555a73968e,28943,1,brain,normal,blood;brain;intestine;kidney;liver;lung
30c2a6fd-d547-460f-a5e7-44c62a2af7ad,207952,28,blood,normal;open-angle glaucoma,blood;brain;intestine;kidney;liver;lung
30cd5311-6c09-46c9-94f1-71fe4b91813c,125117,10,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung
30f5e171-83d7-4fc0-bf75-384f122346b3,0,0,,,blood;brain;intestine;kidney;liver;lung
31285bcd-9a28-48ce-8cc0-543af80261d3,11244,1,brain,normal,blood;brain;intestine;kidney;liver;lung
